work_year,job_title,job_category,salary_in_usd,company_size,work_setting,salary_category
1.0,0.14516129032258063,0.0,0.3505747126436782,0.5,0.5,2
1.0,0.14516129032258063,0.0,0.21034482758620693,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.3928735632183908,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.26275862068965516,0.5,0.5,2
1.0,0.20161290322580644,0.0,0.39080459770114945,0.0,0.5,2
1.0,0.20161290322580644,0.0,0.14850574712643677,0.0,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.24597701149425288,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.1827586206896552,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.5340229885057471,0.5,0.5,3
1.0,0.3548387096774194,0.4444444444444444,0.2866666666666667,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.3701149425287356,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.1954022988505747,0.5,0.5,1
1.0,0.7741935483870968,1.0,0.435632183908046,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.2924137931034483,0.5,0.5,2
1.0,0.9596774193548386,0.7777777777777777,0.534712643678161,0.0,0.5,3
1.0,0.9596774193548386,0.7777777777777777,0.2581609195402299,0.0,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.479080459770115,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.3935632183908046,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.3505747126436782,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.21034482758620693,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.3928735632183908,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.26275862068965516,0.5,0.5,2
1.0,0.9435483870967741,0.7777777777777777,0.13103448275862067,0.5,1.0,1
1.0,0.9435483870967741,0.7777777777777777,0.11264367816091954,0.5,1.0,1
1.0,0.056451612903225805,0.8888888888888888,0.37889655172413794,0.5,0.5,2
1.0,0.056451612903225805,0.8888888888888888,0.2962298850574713,0.5,0.5,2
1.0,0.9596774193548386,0.7777777777777777,0.6162068965517242,0.5,0.5,3
1.0,0.9596774193548386,0.7777777777777777,0.3993103448275862,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.2712643678160919,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.09977011494252873,0.5,0.5,1
1.0,0.9516129032258064,0.7777777777777777,0.2903402298850575,0.5,0.5,2
1.0,0.9516129032258064,0.7777777777777777,0.2312804597701149,0.5,0.5,1
1.0,0.282258064516129,0.2222222222222222,0.1954022988505747,0.5,0.5,1
1.0,0.282258064516129,0.2222222222222222,0.13793103448275862,0.5,0.5,1
1.0,0.7741935483870968,1.0,0.57816091954023,0.5,0.5,3
1.0,0.7741935483870968,1.0,0.29747126436781607,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.12957011494252874,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.09280000000000001,0.5,0.5,1
1.0,0.9596774193548386,0.7777777777777777,0.6264367816091955,0.5,0.5,3
1.0,0.9596774193548386,0.7777777777777777,0.32413793103448274,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.1724137931034483,0.5,1.0,1
1.0,0.282258064516129,0.2222222222222222,0.12643678160919541,0.5,1.0,1
1.0,0.3548387096774194,0.4444444444444444,0.42298850574712643,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.33793103448275863,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.35835402298850577,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.22740919540229887,0.5,1.0,1
1.0,0.3548387096774194,0.4444444444444444,0.38850574712643676,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.2482758620689655,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.5074712643678162,0.5,0.5,3
1.0,0.5564516129032258,0.7777777777777777,0.3660919540229885,0.5,0.5,2
